metric	metric_value	metric_type
abox_axiom_count	58	single_value
abox_axiom_count_incl	58	single_value
annotation_property_count	31	single_value
annotation_property_count_incl	31	single_value
axiom_count	2734	single_value
axiom_count_incl	2734	single_value
axiom_type_count	AnnotationAssertion 1308	map_value
axiom_type_count	ClassAssertion 58	map_value
axiom_type_count	DataPropertyRange 32	map_value
axiom_type_count	Declaration 355	map_value
axiom_type_count	DisjointClasses 1	map_value
axiom_type_count	EquivalentClasses 9	map_value
axiom_type_count	InverseObjectProperties 8	map_value
axiom_type_count	ObjectPropertyRange 110	map_value
axiom_type_count	SubClassOf 828	map_value
axiom_type_count	SubDataPropertyOf 1	map_value
axiom_type_count	SubObjectPropertyOf 24	map_value
axiom_type_count_incl	AnnotationAssertion 1308	map_value
axiom_type_count_incl	ClassAssertion 58	map_value
axiom_type_count_incl	DataPropertyRange 32	map_value
axiom_type_count_incl	Declaration 355	map_value
axiom_type_count_incl	DisjointClasses 1	map_value
axiom_type_count_incl	EquivalentClasses 9	map_value
axiom_type_count_incl	InverseObjectProperties 8	map_value
axiom_type_count_incl	ObjectPropertyRange 110	map_value
axiom_type_count_incl	SubClassOf 828	map_value
axiom_type_count_incl	SubDataPropertyOf 1	map_value
axiom_type_count_incl	SubObjectPropertyOf 24	map_value
axiom_types	AnnotationAssertion	list_value
axiom_types	ClassAssertion	list_value
axiom_types	DataPropertyRange	list_value
axiom_types	Declaration	list_value
axiom_types	DisjointClasses	list_value
axiom_types	EquivalentClasses	list_value
axiom_types	InverseObjectProperties	list_value
axiom_types	ObjectPropertyRange	list_value
axiom_types	SubClassOf	list_value
axiom_types	SubDataPropertyOf	list_value
axiom_types	SubObjectPropertyOf	list_value
axiom_types_incl	AnnotationAssertion	list_value
axiom_types_incl	ClassAssertion	list_value
axiom_types_incl	DataPropertyRange	list_value
axiom_types_incl	Declaration	list_value
axiom_types_incl	DisjointClasses	list_value
axiom_types_incl	EquivalentClasses	list_value
axiom_types_incl	InverseObjectProperties	list_value
axiom_types_incl	ObjectPropertyRange	list_value
axiom_types_incl	SubClassOf	list_value
axiom_types_incl	SubDataPropertyOf	list_value
axiom_types_incl	SubObjectPropertyOf	list_value
class_count	136	single_value
class_count_incl	136	single_value
class_expression_count	Class 1861	map_value
class_expression_count	DataAllValuesFrom 63	map_value
class_expression_count	DataMaxCardinality 65	map_value
class_expression_count	DataMinCardinality 67	map_value
class_expression_count	ObjectAllValuesFrom 211	map_value
class_expression_count	ObjectIntersectionOf 4	map_value
class_expression_count	ObjectMaxCardinality 88	map_value
class_expression_count	ObjectMinCardinality 211	map_value
class_expression_count	ObjectUnionOf 17	map_value
class_expression_count_incl	Class 1861	map_value
class_expression_count_incl	DataAllValuesFrom 63	map_value
class_expression_count_incl	DataMaxCardinality 65	map_value
class_expression_count_incl	DataMinCardinality 67	map_value
class_expression_count_incl	ObjectAllValuesFrom 211	map_value
class_expression_count_incl	ObjectIntersectionOf 4	map_value
class_expression_count_incl	ObjectMaxCardinality 88	map_value
class_expression_count_incl	ObjectMinCardinality 211	map_value
class_expression_count_incl	ObjectUnionOf 17	map_value
constructs	CONCEPT_COMPLEX_NEGATION	list_value
constructs	CONCEPT_INTERSECTION	list_value
constructs	CONCEPT_UNION	list_value
constructs	D	list_value
constructs	N	list_value
constructs	ROLE_DOMAIN_RANGE	list_value
constructs	ROLE_HIERARCHY	list_value
constructs	ROLE_INVERSE	list_value
constructs	UNIVERSAL_RESTRICTION	list_value
constructs_incl	CONCEPT_COMPLEX_NEGATION	list_value
constructs_incl	CONCEPT_INTERSECTION	list_value
constructs_incl	CONCEPT_UNION	list_value
constructs_incl	D	list_value
constructs_incl	N	list_value
constructs_incl	ROLE_DOMAIN_RANGE	list_value
constructs_incl	ROLE_HIERARCHY	list_value
constructs_incl	ROLE_INVERSE	list_value
constructs_incl	UNIVERSAL_RESTRICTION	list_value
curie_map	dc http://purl.org/dc/terms/	map_value
curie_map	owl http://www.w3.org/2002/07/owl#	map_value
curie_map	prov http://www.w3.org/ns/prov#	map_value
curie_map	rdfs http://www.w3.org/2000/01/rdf-schema#	map_value
curie_map	schema http://schema.org/	map_value
curie_map	skos http://www.w3.org/2004/02/skos/core#	map_value
curie_map	xsd http://www.w3.org/2001/XMLSchema#	map_value
dataproperty_count	42	single_value
dataproperty_count_incl	42	single_value
datatypes_count	8	single_value
datatypes_count_incl	8	single_value
dt_builtin_count	7	single_value
dt_builtin_count_incl	7	single_value
dt_notbuiltin_count	1	single_value
dt_notbuiltin_count_incl	1	single_value
expressivity	RRESTRCUCINTUNIVRESTRHIN(D)	single_value
expressivity_incl	RRESTRCUCINTUNIVRESTRHIN(D)	single_value
individual_count	58	single_value
individual_count_incl	58	single_value
logical_axiom_count	1071	single_value
logical_axiom_count_incl	1071	single_value
namespace_axiom_count	dc 26	map_value
namespace_axiom_count	owl 300	map_value
namespace_axiom_count	prefix_unknown 2527	map_value
namespace_axiom_count	prov 190	map_value
namespace_axiom_count	rdfs 510	map_value
namespace_axiom_count	schema 8	map_value
namespace_axiom_count	skos 931	map_value
namespace_axiom_count	xsd 97	map_value
namespace_axiom_count_incl	dc 26	map_value
namespace_axiom_count_incl	owl 300	map_value
namespace_axiom_count_incl	prefix_unknown 2527	map_value
namespace_axiom_count_incl	prov 190	map_value
namespace_axiom_count_incl	rdfs 510	map_value
namespace_axiom_count_incl	schema 8	map_value
namespace_axiom_count_incl	skos 931	map_value
namespace_axiom_count_incl	xsd 97	map_value
namespace_entity_count	dc 10	map_value
namespace_entity_count	owl 2	map_value
namespace_entity_count	prefix_unknown 373	map_value
namespace_entity_count	prov 17	map_value
namespace_entity_count	rdfs 2	map_value
namespace_entity_count	schema 1	map_value
namespace_entity_count	skos 12	map_value
namespace_entity_count	xsd 7	map_value
namespace_entity_count_incl	dc 10	map_value
namespace_entity_count_incl	owl 2	map_value
namespace_entity_count_incl	prefix_unknown 373	map_value
namespace_entity_count_incl	prov 17	map_value
namespace_entity_count_incl	rdfs 2	map_value
namespace_entity_count_incl	schema 1	map_value
namespace_entity_count_incl	skos 12	map_value
namespace_entity_count_incl	xsd 7	map_value
obj_property_count	149	single_value
obj_property_count_incl	149	single_value
ontology_anno_count	15	single_value
ontology_iri	https://w3id.org/heritagegraph/ontology	single_value
ontology_version_iri	https://w3id.org/heritagegraph/ontology/0.1.0-alpha.5	single_value
owl2	true	single_value
owl2_dl	true	single_value
owl2_el	false	single_value
owl2_ql	false	single_value
owl2_rl	false	single_value
rbox_axiom_count	33	single_value
rbox_axiom_count_incl	33	single_value
rdfs	false	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	424	single_value
signature_entity_count_incl	424	single_value
syntax	Turtle	single_value
tbox_axiom_count	980	single_value
tbox_axiom_count_incl	980	single_value
tboxrbox_axiom_count	1013	single_value
tboxrbox_axiom_count_incl	1013	single_value
