2026-07-16 22:03:21,813 WARN  org.obolibrary.robot.ReasonOperation - Reference violations found: 61 - reasoning may be incomplete
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/SyncreticType/Fusion>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/SyncreticType/Equivalence>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/RitualType/Circumambulation>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#ConceptScheme> <https://w3id.org/heritagegraph/scheme/ExistenceStatus>), referencedObject=<http://www.w3.org/2004/02/skos/core#ConceptScheme>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/DatePrecision/Century>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <http://vocab.getty.edu/aat/300007562>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#ConceptScheme> <https://w3id.org/heritagegraph/scheme/SyncreticType>), referencedObject=<http://www.w3.org/2004/02/skos/core#ConceptScheme>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/SyncreticType/Appropriation>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/ExistenceStatus/Lost>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <http://vocab.getty.edu/aat/300004829>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 22:03:21,814 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=DataPropertyRange(<https://w3id.org/heritagegraph/selectionCriteriaMet> xsd:string), referencedObject=<https://w3id.org/heritagegraph/selectionCriteriaMet>, category=DEPRECATED]
2026-07-16 22:03:21,896 INFO  org.obolibrary.robot.ReasonerHelper - Checking for inconsistencies
2026-07-16 22:03:21,897 INFO  org.obolibrary.robot.ReasonerHelper - Checking for unsatisfiable classes...
2026-07-16 22:03:21,911 INFO  org.obolibrary.robot.ReasonerHelper - Checking for unsatisfiable object properties...
2026-07-16 22:03:21,911 INFO  org.obolibrary.robot.ReasonerHelper - Object-property precomputation is supported; using that to find unsatisfiable object properties...
2026-07-16 22:03:21,944 INFO  org.obolibrary.robot.ReasonOperation - Reasoning took 1 seconds.
2026-07-16 22:03:22,019 WARN  org.obolibrary.robot.CommandManager - Subcommand Timing: reason took 0.427 seconds
HERMIT_EXIT:0
