metric	metric_value	metric_type
abox_axiom_count	383	single_value
abox_axiom_count_incl	383	single_value
annotation_property_count	31	single_value
annotation_property_count_incl	31	single_value
axiom_count	2836	single_value
axiom_count_incl	2836	single_value
axiom_type_count	AnnotationAssertion 989	map_value
axiom_type_count	ClassAssertion 58	map_value
axiom_type_count	DataPropertyAssertion 325	map_value
axiom_type_count	DataPropertyRange 37	map_value
axiom_type_count	DatatypeDefinition 1	map_value
axiom_type_count	Declaration 343	map_value
axiom_type_count	DisjointClasses 1	map_value
axiom_type_count	EquivalentClasses 9	map_value
axiom_type_count	InverseObjectProperties 8	map_value
axiom_type_count	ObjectPropertyRange 110	map_value
axiom_type_count	SubClassOf 928	map_value
axiom_type_count	SubDataPropertyOf 1	map_value
axiom_type_count	SubObjectPropertyOf 26	map_value
axiom_type_count_incl	AnnotationAssertion 989	map_value
axiom_type_count_incl	ClassAssertion 58	map_value
axiom_type_count_incl	DataPropertyAssertion 325	map_value
axiom_type_count_incl	DataPropertyRange 37	map_value
axiom_type_count_incl	DatatypeDefinition 1	map_value
axiom_type_count_incl	Declaration 343	map_value
axiom_type_count_incl	DisjointClasses 1	map_value
axiom_type_count_incl	EquivalentClasses 9	map_value
axiom_type_count_incl	InverseObjectProperties 8	map_value
axiom_type_count_incl	ObjectPropertyRange 110	map_value
axiom_type_count_incl	SubClassOf 928	map_value
axiom_type_count_incl	SubDataPropertyOf 1	map_value
axiom_type_count_incl	SubObjectPropertyOf 26	map_value
axiom_types	AnnotationAssertion	list_value
axiom_types	ClassAssertion	list_value
axiom_types	DataPropertyAssertion	list_value
axiom_types	DataPropertyRange	list_value
axiom_types	DatatypeDefinition	list_value
axiom_types	Declaration	list_value
axiom_types	DisjointClasses	list_value
axiom_types	EquivalentClasses	list_value
axiom_types	InverseObjectProperties	list_value
axiom_types	ObjectPropertyRange	list_value
axiom_types	SubClassOf	list_value
axiom_types	SubDataPropertyOf	list_value
axiom_types	SubObjectPropertyOf	list_value
axiom_types_incl	AnnotationAssertion	list_value
axiom_types_incl	ClassAssertion	list_value
axiom_types_incl	DataPropertyAssertion	list_value
axiom_types_incl	DataPropertyRange	list_value
axiom_types_incl	DatatypeDefinition	list_value
axiom_types_incl	Declaration	list_value
