2026-07-16 21:00:10,109 WARN  org.semanticweb.owlapi.util.OWLAnnotationPropertyTransformer - Annotation property range axiom turned to data property range after parsing. This could introduce errors if the original range was an anonymous expression: http://www.w3.org/2001/XMLSchema#string is the new domain.
2026-07-16 21:00:10,113 INFO  org.obolibrary.robot.CommandLineHelper - Reasoner: hermit
2026-07-16 21:00:10,115 INFO  org.obolibrary.robot.ReasonOperation - Ontology has 2836 axioms.
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violations found: 63 - reasoning may be incomplete
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#ConceptScheme> <https://w3id.org/heritagegraph/scheme/SyncreticType>), referencedObject=<http://www.w3.org/2004/02/skos/core#ConceptScheme>, category=DANGLING]
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/ArchitecturalStyle/Shikhara>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/RitualType/ProcessionalMovement>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/DatePrecision/Century>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/GuthiType/RajGuthi>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/RitualType/Vrata>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/RitualType/Yagna>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 21:00:10,141 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=ClassAssertion(<http://www.w3.org/2004/02/skos/core#Concept> <https://w3id.org/heritagegraph/scheme/DatePrecision/Decade>), referencedObject=<http://www.w3.org/2004/02/skos/core#Concept>, category=DANGLING]
2026-07-16 21:00:10,142 WARN  org.obolibrary.robot.ReasonOperation - Reference violation: InvalidReferenceViolation [axiom=SubClassOf(ObjectIntersectionOf(<https://w3id.org/heritagegraph/ArchitecturalStructure> DataSomeValuesFrom(<https://w3id.org/heritagegraph/existence_status> xsd:string)) ObjectSomeValuesFrom(<https://w3id.org/heritagegraph/has_current_location> owl:Thing)), referencedObject=<https://w3id.org/heritagegraph/has_current_location>, category=DANGLING]
