lux_class,instances,covered
crm:E33_E41_Linguistic_Appellation,258678,YES
crm:E33_Linguistic_Object,188712,YES
crm:E65_Creation,136441,YES
crm:E55_Type,97304,YES
crm:E42_Identifier,77531,YES
crm:E13_Attribute_Assignment,35258,YES
crm:E21_Person,25285,YES
dig:D1_Digital_Object,25103,YES
crm:E52_Time-Span,22545,YES
crm:E7_Activity,20597,YES
crm:E74_Group,3572,YES
crm:E53_Place,3281,YES
crm:E30_Right,2712,YES
crm:E4_Period,668,YES
crm:E36_Visual_Item,351,YES
crm:E56_Language,168,YES
crm:E22_Human-Made_Object,163,YES
la:Set,85,YES
crm:E54_Dimension,68,YES
crm:E67_Birth,59,YES
crm:E12_Production,39,YES
crm:E69_Death,14,YES
crm:E57_Material,8,YES
crm:E66_Formation,6,YES
sci:S19_Encounter_Event,3,YES
crm:E68_Dissolution,2,YES
crm:E58_Measurement_Unit,2,YES
crm:E73_Information_Object,1,YES
