hg_term,axiom,crm_term
hg:Actor,equivalentClass,crm:E39_Actor
hg:ConditionState,equivalentClass,crm:E3_Condition_State
hg:Deity,equivalentClass,crm:E28_Conceptual_Object
hg:DestructionEvent,equivalentClass,crm:E6_Destruction
hg:HistoricalEvent,equivalentClass,crm:E5_Event
hg:HumanMadeObject,equivalentClass,crm:E22_Human-Made_Object
hg:Material,equivalentClass,crm:E57_Material
hg:Person,equivalentClass,crm:E21_Person
hg:Place,equivalentClass,crm:E53_Place
hg:Production,equivalentClass,crm:E12_Production
hg:TimeSpan,equivalentClass,crm:E52_Time-Span
hg:TransferOfCustody,equivalentClass,crm:E10_Transfer_of_Custody
hg:carried_out_activity,equivalentProperty,crm:P14i_performed
hg:carried_out_by,equivalentProperty,crm:P14_carried_out_by
hg:created_by_documentation,equivalentProperty,crm:P94i_was_created_by
hg:destruction_event,equivalentProperty,crm:P13i_was_destroyed_by
hg:documented_in_source,equivalentProperty,crm:P67i_is_referred_to_by
hg:had_participant,equivalentProperty,crm:P11_had_participant
hg:has_current_location,equivalentProperty,crm:P55_has_current_location
hg:has_membership,equivalentProperty,crm:P107_has_current_or_former_member
hg:has_timespan,equivalentProperty,crm:P4_has_time-span
hg:is_about_entity,equivalentProperty,crm:P129_is_about
hg:is_about_event,equivalentProperty,crm:P129_is_about
hg:member_of_group,equivalentProperty,crm:P107i_is_current_or_former_member_of
hg:produced_object,equivalentProperty,crm:P108_has_produced
hg:took_place_at,equivalentProperty,crm:P7_took_place_at
hg:transferred_from_actor,equivalentProperty,crm:P28_custody_surrendered_by
hg:transferred_object,equivalentProperty,crm:P30_transferred_custody_of
hg:transferred_to_actor,equivalentProperty,crm:P29_custody_received_by
hg:was_produced_by_event,equivalentProperty,crm:P108i_was_produced_by
