#license: CC-BY-4.0
#mapping_set_id: HeritageGraph
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-06-23
#curie_map: 
# heritageGraph: https://w3id.org/heritagegraph/
# linkml: https://w3id.org/linkml/
# rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# owl: http://www.w3.org/2002/07/owl#
# xsd: http://www.w3.org/2001/XMLSchema#
# skos: http://www.w3.org/2004/02/skos/core#
# dcterms: http://purl.org/dc/terms/
# dct: http://purl.org/dc/terms/
# pav: http://purl.org/pav/
# void: http://rdfs.org/ns/void#
# geo: http://www.opengis.net/ont/geosparql#
# time: http://www.w3.org/2006/time#
# wgs84: http://www.w3.org/2003/01/geo/wgs84_pos#
# aat: http://vocab.getty.edu/aat/
# tgn: http://vocab.getty.edu/tgn/
# wikidata: http://www.wikidata.org/entity/
# schema: http://schema.org/
# dbo: http://dbpedia.org/ontology/
# foaf: http://xmlns.com/foaf/0.1/
# edm: http://www.europeana.eu/schemas/edm/
# orcid: https://orcid.org/
# localcontexts: https://voc.localcontexts.org/
# datacite: http://purl.org/spar/datacite/
# prov: http://www.w3.org/ns/prov#
# crm: http://www.cidoc-crm.org/cidoc-crm/
# crmsci: http://www.cidoc-crm.org/extensions/crmsci/
# crminf: http://www.cidoc-crm.org/extensions/crminf/
# rico: https://www.ica.org/standards/RiC/ontology#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
heritageGraph:ArchitecturalStyleEnum#Pagoda	Pagoda	skos:exactMatch		heritageGraph:Pagoda		skos:exactMatch	HeritageGraph						ArchitecturalStyleEnum			
heritageGraph:ArchitecturalStyleEnum#Shikhara	Shikhara	skos:exactMatch		heritageGraph:Shikhara		skos:exactMatch	HeritageGraph						ArchitecturalStyleEnum			
heritageGraph:ArchitecturalStyleEnum#Dome	Dome	skos:exactMatch		heritageGraph:Dome		skos:exactMatch	HeritageGraph						ArchitecturalStyleEnum			
heritageGraph:ArchitecturalStyleEnum#Chaitya	Chaitya	skos:exactMatch		heritageGraph:ChaityaStyle		skos:exactMatch	HeritageGraph						ArchitecturalStyleEnum			
heritageGraph:ArchitecturalStyleEnum#Stupa	Stupa	skos:exactMatch		heritageGraph:StupaStyle		skos:exactMatch	HeritageGraph						ArchitecturalStyleEnum			
heritageGraph:ConditionTypeEnum#Good	Good	skos:exactMatch		heritageGraph:Good		skos:exactMatch	HeritageGraph						ConditionTypeEnum			
heritageGraph:ConditionTypeEnum#Damaged	Damaged	skos:exactMatch		heritageGraph:Damaged		skos:exactMatch	HeritageGraph						ConditionTypeEnum			
heritageGraph:ConditionTypeEnum#Ruined	Ruined	skos:exactMatch		heritageGraph:Ruined		skos:exactMatch	HeritageGraph						ConditionTypeEnum			
heritageGraph:ConditionTypeEnum#Restored	Restored	skos:exactMatch		heritageGraph:Restored		skos:exactMatch	HeritageGraph						ConditionTypeEnum			
heritageGraph:DatePrecisionEnum#Exact	Exact	skos:exactMatch		heritageGraph:Exact		skos:exactMatch	HeritageGraph						DatePrecisionEnum			
heritageGraph:DatePrecisionEnum#Year	Year	skos:exactMatch		heritageGraph:Year		skos:exactMatch	HeritageGraph						DatePrecisionEnum			
heritageGraph:DatePrecisionEnum#Decade	Decade	skos:exactMatch		heritageGraph:Decade		skos:exactMatch	HeritageGraph						DatePrecisionEnum			
